,precision,recall,f1-score,support
0,0.8978164448993518,0.9175383542538355,0.9075702707363339,5736.0
1,0.9195851751105066,0.9002996005326231,0.9098402018502944,6008.0
accuracy,0.9087193460490464,0.9087193460490464,0.9087193460490464,0.9087193460490464
macro avg,0.9087008100049292,0.9089189773932294,0.9087052362933141,11744.0
weighted avg,0.9089529002049221,0.9087193460490464,0.9087315229615275,11744.0
