,precision,recall,f1-score,support
0,0.9221735319894829,0.9162312783002439,0.919192801607408,5742.0
1,0.9207317073170732,0.9263803680981595,0.9235474006116208,6031.0
accuracy,0.9214303915739404,0.9214303915739404,0.9214303915739404,0.9214303915739404
macro avg,0.9214526196532781,0.9213058231992017,0.9213701011095143,11773.0
weighted avg,0.9214349229179376,0.9214303915739404,0.9214235487911681,11773.0
