,precision,recall,f1-score,support
0,0.911936704506364,0.9233716475095786,0.9176185531325718,5742.0
1,0.9261621077361973,0.9151052893384182,0.9206005004170141,6031.0
accuracy,0.9191370084090716,0.9191370084090716,0.9191370084090716,0.9191370084090716
macro avg,0.9190494061212806,0.9192384684239984,0.919109526774793,11773.0
weighted avg,0.9192240065431536,0.9191370084090716,0.9191461267393392,11773.0
