,precision,recall,f1-score,support
negative,0.9308252427184466,0.9383082838168473,0.9345517841601393,5722.0
positive,0.9412156536219817,0.9340604858701042,0.9376244193762442,6051.0
accuracy,0.9361250318525439,0.9361250318525439,0.9361250318525439,0.9361250318525439
macro avg,0.9360204481702141,0.9361843848434757,0.9360881017681917,11773.0
weighted avg,0.9361656297376678,0.9361250318525439,0.9361310346224386,11773.0
