,precision,recall,f1-score,support
0,0.8862068965517241,0.896094839609484,0.891123439667129,5736.0
1,0.8997308209959624,0.8901464713715047,0.8949129852744311,6008.0
accuracy,0.8930517711171662,0.8930517711171662,0.8930517711171662,0.8930517711171662
macro avg,0.8929688587738432,0.8931206554904944,0.8930182124707801,11744.0
weighted avg,0.8931254709778979,0.8930517711171662,0.8930620968545159,11744.0
